id, x, y, grav, label
0, 2, -8, 20.0, 4
1, 2, -3, 30.0, 3
2, 13, 5, 30.0, 3
3, 8, 6, 20.0, 4
4, 8, 3, 20.0, 4
5, 11, 3, 30.0, 3
6, -3, 0, 30.0, 3
7, 13, -10, 35.0, 3
8, 9, -3, 30.0, 3
9, 5, 1, 15.0, 4
10, -5, 3, 30.0, 3
11, 9, 9, 25.0, 4
12, 2, -7, 25.0, 4
13, 5, 2, 30.0, 3
14, 12, 1, 25.0, 4
15, 7, 0, 40.0, 3
16, -1, 5, 40.0, 3
17, 11, 7, 40.0, 3
18, 8, -8, 40.0, 3
19, 6, 6, 45.0, 3
20, -2, -1, 60.0, 2
21, 11, -1, 30.0, 3
22, 6, -9, 60.0, 2
23, 3, -6, 60.0, 2
24, 11, 4, 55.0, 2
25, 11, -3, 35.0, 3
26, 5, -1, 25.0, 4
27, -5, -7, 40.0, 3
28, -5, -5, 20.0, 4
29, -1, -5, 25.0, 4
30, -1, 4, 25.0, 4
31, 8, -5, 25.0, 4
32, 11, 6, 35.0, 3
33, 7, 3, 35.0, 3
34, 0, -7, 30.0, 3
35, 8, 9, 30.0, 3
36, -4, -7, 45.0, 3
37, 5, 3, 25.0, 4
38, -3, 8, 35.0, 3
39, 0, 9, 40.0, 3
40, 5, -7, 40.0, 3
41, 9, -2, 25.0, 4
