id, x, y, grav, label
91, -33, -1, 30.0, 3
92, -33, 32, 25.0, 4
93, -33, 37, 30.0, 3
96, -32, 38, 30.0, 3
98, -31, 34, 35.0, 3
100, -30, 14, 25.0, 4
102, -29, 10, 40.0, 3
103, -29, 32, 35.0, 3
104, -29, 38, 35.0, 3
108, -28, 8, 30.0, 3
109, -27, 7, 30.0, 3
110, -27, 30, 25.0, 4
112, -26, 12, 25.0, 4
113, -25, 9, 30.0, 3
114, -25, 34, 50.0, 3
117, -23, 37, 45.0, 3
119, -22, 26, 20.0, 4
122, -21, 11, 60.0, 2
123, -21, 25, 30.0, 3
125, -20, 13, 35.0, 3
126, -20, 35, 55.0, 2
127, -20, 38, 40.0, 3
132, -17, 18, 60.0, 2
135, -15, 21, 20.0, 4
136, -15, 35, 20.0, 4
142, -11, 37, 30.0, 3
145, -9, 30, 40.0, 3
148, -7, 36, 30.0, 3
157, -1, 27, 40.0, 3
174, 7, 38, 40.0, 3
176, 10, 35, 40.0, 3
183, 14, 29, 45.0, 3
184, 14, 38, 35.0, 3
192, 20, 38, 50.0, 3
196, 22, 34, 25.0, 4
199, 24, 30, 40.0, 3
202, 26, 37, 25.0, 4
204, 27, 26, 45.0, 3
221, 32, 31, 35.0, 3
225, 33, 34, 40.0, 3
