id, x, y, grav, label
150, -5, -6, 15.0, 4
151, -5, -5, 40.0, 3
154, -4, -6, 60.0, 2
155, -4, -5, 35.0, 3
159, 1, -9, 25.0, 4
162, 2, -10, 45.0, 3
165, 3, -13, 40.0, 3
166, 4, -11, 25.0, 4
167, 4, -7, 40.0, 3
172, 7, -20, 30.0, 3
178, 11, -13, 60.0, 2
180, 14, -27, 35.0, 3
181, 14, -23, 45.0, 3
182, 14, -11, 25.0, 4
186, 18, -23, 20.0, 4
189, 20, -20, 55.0, 2
190, 20, -4, 25.0, 4
191, 20, 4, 55.0, 2
194, 22, 0, 40.0, 3
195, 22, 10, 35.0, 3
197, 23, -4, 30.0, 3
198, 24, 8, 25.0, 4
200, 25, -22, 35.0, 3
201, 26, -17, 25.0, 4
203, 27, 10, 40.0, 3
205, 28, 0, 25.0, 4
206, 28, 9, 55.0, 2
207, 29, 7, 60.0, 2
208, 30, -9, 35.0, 3
209, 30, 3, 40.0, 3
210, 30, 10, 30.0, 3
211, 31, -36, 25.0, 4
212, 31, -28, 30.0, 3
213, 31, -24, 45.0, 3
214, 31, -17, 30.0, 3
215, 31, -11, 35.0, 3
216, 31, 13, 20.0, 4
217, 32, -37, 35.0, 3
218, 32, -36, 40.0, 3
219, 32, -27, 30.0, 3
220, 32, 1, 10.0, 4
222, 33, -15, 40.0, 3
223, 33, -5, 25.0, 4
224, 33, 12, 25.0, 4
