id, x, y, grav, label
2, -65, -30, 40.0, 3
3, -65, 7, 30.0, 3
4, -65, 34, 35.0, 3
5, -65, 37, 25.0, 4
6, -64, -8, 30.0, 3
7, -64, 22, 30.0, 3
9, -63, -28, 35.0, 3
10, -63, -10, 30.0, 3
11, -63, 8, 15.0, 4
12, -63, 35, 50.0, 3
14, -62, -15, 25.0, 4
15, -62, -12, 50.0, 3
16, -62, 28, 40.0, 3
17, -62, 31, 25.0, 4
18, -61, -18, 45.0, 3
19, -61, -16, 40.0, 3
20, -61, -10, 60.0, 2
21, -61, -9, 25.0, 4
22, -61, 38, 40.0, 3
23, -61, 39, 40.0, 3
31, -59, -19, 55.0, 2
32, -59, -16, 35.0, 3
33, -58, -23, 40.0, 3
36, -58, 29, 45.0, 3
42, -55, -17, 40.0, 3
47, -54, 35, 45.0, 3
52, -52, -17, 45.0, 3
59, -49, 28, 25.0, 4
62, -47, 25, 35.0, 3
63, -47, 29, 40.0, 3
64, -47, 38, 50.0, 3
67, -46, 32, 25.0, 4
72, -45, 27, 20.0, 4
74, -44, 30, 40.0, 3
75, -43, 38, 60.0, 2
77, -41, 12, 40.0, 3
80, -40, 9, 30.0, 3
82, -39, 6, 45.0, 3
83, -39, 12, 40.0, 3
84, -38, 9, 40.0, 3
86, -37, 6, 25.0, 4
87, -37, 11, 50.0, 3
89, -37, 35, 35.0, 3
90, -35, 18, 30.0, 3
