Group 1
1, -65, -33, 55.0, 2
2, -65, -30, 40.0, 3
6, -64, -8, 30.0, 3
8, -63, -33, 35.0, 3
9, -63, -28, 35.0, 3
10, -63, -10, 30.0, 3
13, -62, -36, 50.0, 3
14, -62, -15, 25.0, 4
15, -62, -12, 50.0, 3
18, -61, -18, 45.0, 3
19, -61, -16, 40.0, 3
20, -61, -10, 60.0, 2
21, -61, -9, 25.0, 4
30, -59, -29, 40.0, 3
31, -59, -19, 55.0, 2
32, -59, -16, 35.0, 3
33, -58, -23, 40.0, 3
39, -55, -40, 45.0, 3
40, -55, -34, 30.0, 3
41, -55, -30, 30.0, 3
42, -55, -17, 40.0, 3
49, -52, -36, 35.0, 3
50, -52, -30, 60.0, 2
51, -52, -26, 35.0, 3
52, -52, -17, 45.0, 3
53, -51, -33, 30.0, 3
58, -49, -17, 30.0, 3
60, -48, -20, 35.0, 3
65, -46, -39, 55.0, 2
66, -46, -29, 50.0, 3
68, -45, -32, 25.0, 4
76, -41, -40, 40.0, 3
78, -40, -32, 25.0, 4
79, -40, -30, 25.0, 4
81, -39, -40, 40.0, 3
85, -37, -38, 50.0, 3
94, -32, -32, 30.0, 3
97, -31, -32, 25.0, 4
99, -30, -31, 35.0, 3
101, -29, -33, 40.0, 3
111, -26, -28, 40.0, 3
118, -22, -36, 50.0, 3
120, -21, -28, 15.0, 4
128, -18, -21, 25.0, 4
133, -16, -32, 30.0, 3
134, -15, -24, 15.0, 4
Group 2
114, -25, 34, 50.0, 3
117, -23, 37, 45.0, 3
119, -22, 26, 20.0, 4
122, -21, 11, 60.0, 2
123, -21, 25, 30.0, 3
125, -20, 13, 35.0, 3
126, -20, 35, 55.0, 2
127, -20, 38, 40.0, 3
132, -17, 18, 60.0, 2
135, -15, 21, 20.0, 4
136, -15, 35, 20.0, 4
142, -11, 37, 30.0, 3
145, -9, 30, 40.0, 3
148, -7, 36, 30.0, 3
150, -5, -6, 15.0, 4
151, -5, -5, 40.0, 3
154, -4, -6, 60.0, 2
155, -4, -5, 35.0, 3
157, -1, 27, 40.0, 3
174, 7, 38, 40.0, 3
176, 10, 35, 40.0, 3
183, 14, 29, 45.0, 3
184, 14, 38, 35.0, 3
191, 20, 4, 55.0, 2
192, 20, 38, 50.0, 3
195, 22, 10, 35.0, 3
196, 22, 34, 25.0, 4
198, 24, 8, 25.0, 4
199, 24, 30, 40.0, 3
202, 26, 37, 25.0, 4
203, 27, 10, 40.0, 3
204, 27, 26, 45.0, 3
206, 28, 9, 55.0, 2
207, 29, 7, 60.0, 2
210, 30, 10, 30.0, 3
216, 31, 13, 20.0, 4
221, 32, 31, 35.0, 3
224, 33, 12, 25.0, 4
225, 33, 34, 40.0, 3
Group 3
137, -13, -39, 60.0, 2
144, -9, -34, 20.0, 4
149, -6, -37, 25.0, 4
153, -4, -18, 55.0, 2
158, 0, -25, 50.0, 3
159, 1, -9, 25.0, 4
162, 2, -10, 45.0, 3
164, 3, -30, 35.0, 3
165, 3, -13, 40.0, 3
166, 4, -11, 25.0, 4
167, 4, -7, 40.0, 3
171, 7, -28, 40.0, 3
172, 7, -20, 30.0, 3
175, 9, -34, 20.0, 4
177, 11, -36, 25.0, 4
178, 11, -13, 60.0, 2
179, 12, -31, 45.0, 3
180, 14, -27, 35.0, 3
181, 14, -23, 45.0, 3
182, 14, -11, 25.0, 4
186, 18, -23, 20.0, 4
189, 20, -20, 55.0, 2
190, 20, -4, 25.0, 4
193, 21, -34, 20.0, 4
194, 22, 0, 40.0, 3
197, 23, -4, 30.0, 3
200, 25, -22, 35.0, 3
201, 26, -17, 25.0, 4
205, 28, 0, 25.0, 4
208, 30, -9, 35.0, 3
209, 30, 3, 40.0, 3
211, 31, -36, 25.0, 4
212, 31, -28, 30.0, 3
213, 31, -24, 45.0, 3
214, 31, -17, 30.0, 3
215, 31, -11, 35.0, 3
217, 32, -37, 35.0, 3
218, 32, -36, 40.0, 3
219, 32, -27, 30.0, 3
220, 32, 1, 10.0, 4
222, 33, -15, 40.0, 3
223, 33, -5, 25.0, 4
Group 4
3, -65, 7, 30.0, 3
4, -65, 34, 35.0, 3
5, -65, 37, 25.0, 4
7, -64, 22, 30.0, 3
11, -63, 8, 15.0, 4
12, -63, 35, 50.0, 3
16, -62, 28, 40.0, 3
17, -62, 31, 25.0, 4
22, -61, 38, 40.0, 3
23, -61, 39, 40.0, 3
36, -58, 29, 45.0, 3
47, -54, 35, 45.0, 3
59, -49, 28, 25.0, 4
62, -47, 25, 35.0, 3
63, -47, 29, 40.0, 3
64, -47, 38, 50.0, 3
67, -46, 32, 25.0, 4
72, -45, 27, 20.0, 4
74, -44, 30, 40.0, 3
75, -43, 38, 60.0, 2
77, -41, 12, 40.0, 3
80, -40, 9, 30.0, 3
82, -39, 6, 45.0, 3
83, -39, 12, 40.0, 3
84, -38, 9, 40.0, 3
86, -37, 6, 25.0, 4
87, -37, 11, 50.0, 3
89, -37, 35, 35.0, 3
90, -35, 18, 30.0, 3
91, -33, -1, 30.0, 3
92, -33, 32, 25.0, 4
93, -33, 37, 30.0, 3
96, -32, 38, 30.0, 3
98, -31, 34, 35.0, 3
100, -30, 14, 25.0, 4
102, -29, 10, 40.0, 3
103, -29, 32, 35.0, 3
104, -29, 38, 35.0, 3
108, -28, 8, 30.0, 3
109, -27, 7, 30.0, 3
110, -27, 30, 25.0, 4
112, -26, 12, 25.0, 4
113, -25, 9, 30.0, 3
