id, x, y, grav, label
8, -20, -32, 45.0, 3
9, -20, -28, 60.0, 2
12, -19, -31, 50.0, 3
15, -16, -13, 35.0, 3
16, -15, -33, 30.0, 3
17, -12, -29, 25.0, 4
18, -12, -23, 60.0, 2
19, -12, -12, 50.0, 3
21, -9, -31, 45.0, 3
22, -9, -10, 20.0, 4
23, -8, -13, 55.0, 2
25, -5, -25, 20.0, 4
26, -5, -17, 50.0, 3
27, -5, -12, 40.0, 3
28, -5, -8, 25.0, 4
29, -4, -31, 40.0, 3
30, -2, -20, 25.0, 4
31, 0, -17, 40.0, 3
32, 1, -21, 30.0, 3
33, 1, -19, 40.0, 3
34, 3, -31, 20.0, 4
39, 8, -25, 45.0, 3
41, 9, -25, 25.0, 4
42, 10, -24, 45.0, 3
44, 11, -26, 45.0, 3
52, 14, -21, 35.0, 3
59, 18, -29, 25.0, 4
61, 19, -21, 60.0, 2
62, 19, -19, 40.0, 3
73, 24, -25, 45.0, 3
76, 27, -32, 30.0, 3
80, 31, -27, 35.0, 3
