id, x, y, grav, label
36, 3, 42, 45.0, 3
38, 7, 39, 25.0, 4
46, 11, 39, 25.0, 4
51, 13, 37, 30.0, 3
55, 15, 41, 40.0, 3
58, 17, 44, 40.0, 3
67, 20, 42, 45.0, 3
68, 20, 45, 40.0, 3
75, 25, 28, 35.0, 3
87, 41, 25, 40.0, 3
88, 41, 28, 40.0, 3
95, 44, 27, 30.0, 3
96, 45, 44, 35.0, 3
99, 47, 41, 20.0, 4
101, 50, 42, 30.0, 3
103, 51, 28, 40.0, 3
108, 54, 36, 20.0, 4
109, 54, 45, 30.0, 3
112, 58, 34, 30.0, 3
115, 62, 41, 25.0, 4
116, 64, 37, 60.0, 2
119, 66, 44, 25.0, 4
120, 67, 20, 35.0, 3
121, 67, 33, 25.0, 4
127, 72, 8, 30.0, 3
131, 73, 19, 35.0, 3
132, 73, 41, 60.0, 2
