id, x, y, grav, label
1, -25, 14, 50.0, 3
2, -25, 41, 50.0, 3
3, -25, 44, 40.0, 3
4, -23, 15, 30.0, 3
5, -23, 42, 20.0, 4
6, -21, 45, 35.0, 3
7, -21, 46, 10.0, 4
8, -20, -32, 45.0, 3
9, -20, -28, 60.0, 2
10, -20, 7, 45.0, 3
11, -20, 10, 15.0, 4
12, -19, -31, 50.0, 3
13, -18, 6, 60.0, 2
14, -18, 36, 45.0, 3
15, -16, -13, 35.0, 3
18, -12, -23, 60.0, 2
19, -12, -12, 50.0, 3
20, -11, 6, 60.0, 2
22, -9, -10, 20.0, 4
23, -8, -13, 55.0, 2
24, -7, 9, 40.0, 3
27, -5, -12, 40.0, 3
28, -5, -8, 25.0, 4
37, 5, 25, 40.0, 3
