id, x, y, grav, label
134, -30, -21, 25.0, 4
135, -30, 4, 50.0, 3
136, -29, -9, 30.0, 3
137, -29, 2, 25.0, 4
138, -29, 47, 25.0, 4
140, -28, -8, 45.0, 3
141, -28, 9, 25.0, 4
142, -28, 25, 50.0, 3
143, -28, 61, 45.0, 3
144, -27, 9, 20.0, 4
145, -26, -19, 50.0, 3
146, -26, -8, 50.0, 3
147, -26, 9, 25.0, 4
148, -25, -8, 45.0, 3
149, -24, -6, 45.0, 3
150, -24, 5, 50.0, 3
151, -23, -13, 35.0, 3
152, -23, -9, 45.0, 3
153, -23, -3, 20.0, 4
154, -23, 9, 50.0, 3
155, -22, 6, 45.0, 3
156, -21, -13, 50.0, 3
157, -21, -5, 25.0, 4
158, -21, -2, 20.0, 4
159, -18, -9, 25.0, 4
160, -18, 30, 20.0, 4
161, -18, 39, 25.0, 4
162, -17, 24, 50.0, 3
163, -17, 53, 45.0, 3
164, -17, 58, 25.0, 4
165, -15, -3, 50.0, 3
166, -15, 40, 25.0, 4
167, -14, -10, 25.0, 4
168, -14, -9, 30.0, 3
169, -14, 10, 55.0, 2
170, -14, 34, 30.0, 3
171, -14, 56, 50.0, 3
172, -13, 36, 25.0, 4
173, -13, 60, 25.0, 4
174, -12, -3, 50.0, 3
175, -12, 40, 20.0, 4
176, -12, 50, 30.0, 3
177, -11, 61, 55.0, 2
178, -10, -10, 55.0, 2
179, -9, 30, 25.0, 4
180, -9, 55, 50.0, 3
181, -8, -13, 25.0, 4
182, -8, 37, 25.0, 4
183, -7, -13, 50.0, 3
184, -7, -11, 45.0, 3
185, -7, 61, 20.0, 4
186, -6, -11, 35.0, 3
187, -6, 48, 40.0, 3
188, -5, -3, 45.0, 3
189, -5, 20, 45.0, 3
190, -4, -10, 50.0, 3
191, -3, -16, 25.0, 4
192, -3, -8, 20.0, 4
193, -3, 15, 25.0, 4
194, -3, 16, 50.0, 3
195, -3, 21, 25.0, 4
196, -2, 47, 45.0, 3
197, -1, -17, 25.0, 4
198, -1, -13, 20.0, 4
199, -1, -10, 15.0, 4
200, -1, -2, 20.0, 4
201, 0, -11, 45.0, 3
202, 0, -7, 35.0, 3
203, 0, -4, 20.0, 4
204, 0, 25, 25.0, 4
205, 0, 39, 45.0, 3
206, 0, 67, 25.0, 4
207, 1, -17, 55.0, 2
208, 1, 20, 55.0, 2
209, 1, 64, 20.0, 4
210, 2, 23, 45.0, 3
211, 2, 37, 40.0, 3
212, 2, 44, 55.0, 2
213, 3, -13, 30.0, 3
214, 3, -7, 25.0, 4
215, 3, 31, 25.0, 4
216, 3, 37, 45.0, 3
217, 3, 45, 20.0, 4
218, 4, -4, 25.0, 4
219, 4, 21, 25.0, 4
220, 4, 25, 20.0, 4
221, 4, 31, 25.0, 4
222, 5, 38, 45.0, 3
223, 5, 45, 45.0, 3
224, 5, 60, 20.0, 4
225, 6, 11, 25.0, 4
226, 6, 13, 20.0, 4
227, 6, 32, 25.0, 4
228, 6, 38, 50.0, 3
229, 6, 59, 45.0, 3
230, 6, 62, 25.0, 4
231, 7, 27, 25.0, 4
232, 7, 46, 50.0, 3
233, 7, 55, 25.0, 4
234, 8, -9, 35.0, 3
235, 8, 8, 20.0, 4
236, 8, 12, 15.0, 4
237, 8, 20, 25.0, 4
238, 8, 37, 25.0, 4
239, 8, 63, 25.0, 4
240, 9, -15, 30.0, 3
241, 9, -2, 50.0, 3
242, 9, 25, 50.0, 3
243, 9, 54, 25.0, 4
244, 9, 58, 40.0, 3
245, 9, 62, 20.0, 4
246, 10, 30, 50.0, 3
247, 11, -4, 45.0, 3
248, 11, 12, 45.0, 3
249, 11, 46, 55.0, 2
250, 12, 11, 20.0, 4
251, 12, 29, 45.0, 3
252, 13, 12, 25.0, 4
253, 13, 20, 45.0, 3
254, 13, 28, 50.0, 3
255, 13, 39, 25.0, 4
256, 13, 58, 50.0, 3
257, 14, -17, 50.0, 3
258, 14, -13, 40.0, 3
259, 14, 13, 25.0, 4
260, 15, -18, 50.0, 3
261, 15, 39, 25.0, 4
262, 16, -12, 25.0, 4
263, 16, 0, 20.0, 4
264, 16, 5, 25.0, 4
265, 16, 45, 25.0, 4
266, 17, 28, 25.0, 4
267, 17, 66, 20.0, 4
268, 18, -17, 45.0, 3
269, 18, 14, 45.0, 3
270, 18, 27, 20.0, 4
271, 18, 30, 20.0, 4
272, 18, 41, 25.0, 4
273, 18, 47, 45.0, 3
274, 18, 52, 30.0, 3
275, 18, 64, 25.0, 4
276, 19, 7, 45.0, 3
277, 19, 10, 50.0, 3
278, 19, 25, 25.0, 4
279, 19, 36, 50.0, 3
280, 19, 47, 25.0, 4
281, 20, 9, 25.0, 4
282, 20, 57, 50.0, 3
283, 21, 13, 25.0, 4
284, 21, 15, 20.0, 4
285, 21, 45, 30.0, 3
286, 21, 52, 45.0, 3
287, 22, -15, 30.0, 3
288, 22, 2, 50.0, 3
289, 22, 22, 25.0, 4
290, 22, 23, 55.0, 2
291, 22, 54, 35.0, 3
292, 23, 25, 30.0, 3
293, 23, 57, 25.0, 4
294, 23, 59, 40.0, 3
295, 23, 60, 25.0, 4
296, 24, -21, 20.0, 4
297, 24, -11, 45.0, 3
298, 24, 49, 25.0, 4
299, 24, 64, 40.0, 3
