id, x, y, grav, label
0, -64, 8, 55.0, 2
1, -64, 19, 45.0, 3
2, -63, 13, 45.0, 3
3, -63, 20, 50.0, 3
4, -63, 21, 50.0, 3
5, -63, 29, 20.0, 4
6, -62, 15, 45.0, 3
7, -62, 35, 25.0, 4
8, -62, 50, 25.0, 4
9, -61, -16, 25.0, 4
10, -61, 10, 25.0, 4
11, -61, 33, 45.0, 3
12, -60, -15, 25.0, 4
13, -60, 23, 50.0, 3
14, -60, 57, 45.0, 3
15, -60, 60, 45.0, 3
16, -59, 35, 50.0, 3
17, -59, 52, 25.0, 4
18, -59, 54, 50.0, 3
19, -58, 7, 15.0, 4
20, -57, 53, 45.0, 3
21, -57, 56, 50.0, 3
22, -57, 58, 40.0, 3
23, -57, 67, 50.0, 3
24, -56, 49, 50.0, 3
25, -55, 10, 25.0, 4
26, -55, 31, 40.0, 3
27, -55, 65, 45.0, 3
28, -54, -4, 45.0, 3
29, -54, 7, 45.0, 3
30, -54, 9, 45.0, 3
31, -54, 57, 35.0, 3
32, -53, 27, 25.0, 4
33, -53, 49, 55.0, 2
34, -53, 60, 20.0, 4
35, -53, 62, 50.0, 3
36, -52, 3, 25.0, 4
37, -52, 65, 20.0, 4
38, -51, -14, 45.0, 3
39, -51, 18, 55.0, 2
40, -51, 38, 25.0, 4
41, -51, 51, 45.0, 3
42, -51, 52, 45.0, 3
43, -50, -22, 45.0, 3
44, -50, -20, 30.0, 3
45, -50, 38, 25.0, 4
46, -50, 48, 20.0, 4
47, -50, 65, 35.0, 3
48, -49, -14, 35.0, 3
49, -49, -7, 55.0, 2
50, -49, 57, 45.0, 3
51, -49, 61, 50.0, 3
52, -49, 63, 55.0, 2
53, -49, 64, 50.0, 3
54, -48, -19, 25.0, 4
55, -48, -4, 40.0, 3
56, -48, 7, 25.0, 4
57, -48, 9, 25.0, 4
58, -48, 24, 55.0, 2
59, -48, 39, 45.0, 3
60, -48, 55, 45.0, 3
61, -47, 19, 50.0, 3
62, -47, 33, 45.0, 3
63, -47, 44, 25.0, 4
64, -46, -8, 20.0, 4
65, -46, -7, 50.0, 3
66, -46, 5, 35.0, 3
67, -46, 13, 50.0, 3
68, -46, 60, 40.0, 3
69, -46, 63, 20.0, 4
70, -46, 65, 45.0, 3
71, -45, -10, 20.0, 4
72, -45, -9, 25.0, 4
73, -45, 8, 20.0, 4
74, -45, 16, 25.0, 4
75, -45, 48, 30.0, 3
76, -44, -17, 50.0, 3
77, -44, -14, 45.0, 3
78, -44, 40, 25.0, 4
79, -44, 51, 50.0, 3
80, -43, 6, 25.0, 4
81, -43, 48, 25.0, 4
82, -43, 51, 50.0, 3
83, -42, -10, 25.0, 4
84, -42, -3, 30.0, 3
85, -42, 53, 45.0, 3
86, -41, -19, 25.0, 4
87, -41, -1, 25.0, 4
88, -41, 15, 20.0, 4
89, -41, 28, 60.0, 2
90, -40, -8, 25.0, 4
91, -40, 16, 50.0, 3
92, -40, 35, 50.0, 3
93, -40, 39, 25.0, 4
94, -39, -20, 35.0, 3
95, -39, -3, 25.0, 4
96, -39, 39, 25.0, 4
97, -39, 62, 30.0, 3
98, -39, 64, 35.0, 3
99, -39, 65, 25.0, 4
100, -38, -20, 55.0, 2
101, -38, 16, 20.0, 4
102, -38, 25, 30.0, 3
103, -38, 65, 35.0, 3
104, -37, 3, 45.0, 3
105, -37, 13, 25.0, 4
106, -37, 23, 20.0, 4
107, -37, 33, 25.0, 4
108, -37, 46, 45.0, 3
109, -37, 48, 55.0, 2
110, -36, -12, 50.0, 3
111, -36, 3, 20.0, 4
112, -36, 39, 40.0, 3
113, -36, 47, 30.0, 3
114, -36, 54, 25.0, 4
115, -35, -1, 45.0, 3
116, -35, 6, 45.0, 3
117, -35, 7, 25.0, 4
118, -35, 37, 25.0, 4
119, -34, -20, 45.0, 3
120, -34, 13, 55.0, 2
121, -34, 26, 25.0, 4
122, -34, 28, 45.0, 3
123, -33, 1, 40.0, 3
124, -33, 39, 15.0, 4
125, -33, 44, 30.0, 3
126, -32, 0, 50.0, 3
127, -32, 31, 30.0, 3
128, -32, 57, 25.0, 4
129, -32, 66, 20.0, 4
130, -31, -9, 55.0, 2
131, -31, 5, 50.0, 3
132, -31, 60, 55.0, 2
133, -31, 66, 20.0, 4
139, -29, 53, 50.0, 3
