id, x, y, grav, label
3, -65, 7, 30.0, 3
4, -65, 34, 35.0, 3
5, -65, 37, 25.0, 4
6, -64, -8, 30.0, 3
7, -64, 22, 30.0, 3
10, -63, -10, 30.0, 3
11, -63, 8, 15.0, 4
12, -63, 35, 50.0, 3
15, -62, -12, 50.0, 3
16, -62, 28, 40.0, 3
17, -62, 31, 25.0, 4
20, -61, -10, 60.0, 2
21, -61, -9, 25.0, 4
22, -61, 38, 40.0, 3
23, -61, 39, 40.0, 3
36, -58, 29, 45.0, 3
47, -54, 35, 45.0, 3
59, -49, 28, 25.0, 4
62, -47, 25, 35.0, 3
63, -47, 29, 40.0, 3
64, -47, 38, 50.0, 3
67, -46, 32, 25.0, 4
72, -45, 27, 20.0, 4
74, -44, 30, 40.0, 3
75, -43, 38, 60.0, 2
88, -37, 28, 60.0, 2
89, -37, 35, 35.0, 3
92, -33, 32, 25.0, 4
93, -33, 37, 30.0, 3
95, -32, 22, 45.0, 3
96, -32, 38, 30.0, 3
98, -31, 34, 35.0, 3
103, -29, 32, 35.0, 3
104, -29, 38, 35.0, 3
110, -27, 30, 25.0, 4
114, -25, 34, 50.0, 3
117, -23, 37, 45.0, 3
123, -21, 25, 30.0, 3
126, -20, 35, 55.0, 2
127, -20, 38, 40.0, 3
