id, x, y, grav, label
176, 10, 35, 40.0, 3
183, 14, 29, 45.0, 3
184, 14, 38, 35.0, 3
187, 18, 27, 45.0, 3
189, 20, -20, 55.0, 2
192, 20, 38, 50.0, 3
196, 22, 34, 25.0, 4
198, 24, 8, 25.0, 4
199, 24, 30, 40.0, 3
200, 25, -22, 35.0, 3
201, 26, -17, 25.0, 4
202, 26, 37, 25.0, 4
203, 27, 10, 40.0, 3
204, 27, 26, 45.0, 3
205, 28, 0, 25.0, 4
206, 28, 9, 55.0, 2
207, 29, 7, 60.0, 2
208, 30, -9, 35.0, 3
209, 30, 3, 40.0, 3
210, 30, 10, 30.0, 3
211, 31, -36, 25.0, 4
212, 31, -28, 30.0, 3
213, 31, -24, 45.0, 3
214, 31, -17, 30.0, 3
215, 31, -11, 35.0, 3
216, 31, 13, 20.0, 4
217, 32, -37, 35.0, 3
218, 32, -36, 40.0, 3
219, 32, -27, 30.0, 3
220, 32, 1, 10.0, 4
221, 32, 31, 35.0, 3
222, 33, -15, 40.0, 3
223, 33, -5, 25.0, 4
224, 33, 12, 25.0, 4
225, 33, 34, 40.0, 3
