id, x, y, grav, label
1, -65, -33, 55.0, 2
2, -65, -30, 40.0, 3
8, -63, -33, 35.0, 3
9, -63, -28, 35.0, 3
13, -62, -36, 50.0, 3
14, -62, -15, 25.0, 4
18, -61, -18, 45.0, 3
19, -61, -16, 40.0, 3
30, -59, -29, 40.0, 3
31, -59, -19, 55.0, 2
32, -59, -16, 35.0, 3
33, -58, -23, 40.0, 3
37, -56, -20, 35.0, 3
39, -55, -40, 45.0, 3
40, -55, -34, 30.0, 3
41, -55, -30, 30.0, 3
42, -55, -17, 40.0, 3
45, -54, -27, 40.0, 3
50, -52, -30, 60.0, 2
51, -52, -26, 35.0, 3
52, -52, -17, 45.0, 3
58, -49, -17, 30.0, 3
60, -48, -20, 35.0, 3
65, -46, -39, 55.0, 2
69, -45, -24, 25.0, 4
70, -45, -19, 25.0, 4
71, -45, -15, 50.0, 3
76, -41, -40, 40.0, 3
78, -40, -32, 25.0, 4
79, -40, -30, 25.0, 4
81, -39, -40, 40.0, 3
85, -37, -38, 50.0, 3
106, -28, -8, 20.0, 4
107, -28, -3, 25.0, 4
115, -24, -3, 40.0, 3
116, -24, 1, 45.0, 3
120, -21, -28, 15.0, 4
128, -18, -21, 25.0, 4
137, -13, -39, 60.0, 2
