id, x, y, grav, label
122, -21, 11, 60.0, 2
125, -20, 13, 35.0, 3
130, -18, 9, 60.0, 2
131, -17, 10, 35.0, 3
132, -17, 18, 60.0, 2
136, -15, 35, 20.0, 4
142, -11, 37, 30.0, 3
144, -9, -34, 20.0, 4
148, -7, 36, 30.0, 3
150, -5, -6, 15.0, 4
151, -5, -5, 40.0, 3
153, -4, -18, 55.0, 2
154, -4, -6, 60.0, 2
155, -4, -5, 35.0, 3
158, 0, -25, 50.0, 3
159, 1, -9, 25.0, 4
162, 2, -10, 45.0, 3
164, 3, -30, 35.0, 3
165, 3, -13, 40.0, 3
166, 4, -11, 25.0, 4
167, 4, -7, 40.0, 3
171, 7, -28, 40.0, 3
172, 7, -20, 30.0, 3
173, 7, 34, 35.0, 3
174, 7, 38, 40.0, 3
175, 9, -34, 20.0, 4
177, 11, -36, 25.0, 4
178, 11, -13, 60.0, 2
179, 12, -31, 45.0, 3
180, 14, -27, 35.0, 3
185, 17, -27, 25.0, 4
186, 18, -23, 20.0, 4
188, 20, -28, 35.0, 3
193, 21, -34, 20.0, 4
